,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
0,Regular Season,Fri,2021-08-13,20:30,M'Gladbach,2.0,1–1,2.6,Bayern Munich,22925.0,Stadion im Borussia-Park,Marco Fritz
1,Regular Season,Sat,2021-08-14,15:30,Wolfsburg,3.0,1–0,0.4,Bochum,8536.0,Volkswagen Arena,Frank Willenborg
2,Regular Season,Sat,2021-08-14,15:30,Arminia,0.9,0–0,1.4,Freiburg,13750.0,SchücoArena,Sven Jablonski
3,Regular Season,Sat,2021-08-14,15:30,Augsburg,0.6,0–4,3.4,Hoffenheim,9124.0,WWK Arena,Felix Brych
4,Regular Season,Sat,2021-08-14,15:30,Stuttgart,4.0,5–1,0.8,Greuther Fürth,18109.0,Mercedes-Benz Arena,Felix Zwayer
5,Regular Season,Sat,2021-08-14,15:30,Union Berlin,0.5,1–1,0.7,Leverkusen,11000.0,Stadion An der Alten Försterei,Tobias Reichel
6,Regular Season,Sat,2021-08-14,18:30,Dortmund,2.5,5–2,1.8,Eint Frankfurt,25000.0,Signal Iduna Park,Tobias Stieler
7,Regular Season,Sun,2021-08-15,15:30,Mainz 05,1.1,1–0,1.1,RB Leipzig,10500.0,Opel Arena,Daniel Siebert
8,Regular Season,Sun,2021-08-15,17:30,Köln,1.7,3–1,1.9,Hertha BSC,16500.0,RheinEnergieSTADION,Robert Hartmann
10,Regular Season,Fri,2021-08-20,20:30,RB Leipzig,3.5,4–0,1.1,Stuttgart,23100.0,Red Bull Arena,Florian Badstübner
11,Regular Season,Sat,2021-08-21,15:30,Freiburg,1.0,2–1,1.5,Dortmund,10100.0,Schwarzwald-Stadion,Robert Schröder
12,Regular Season,Sat,2021-08-21,15:30,Bochum,0.7,2–0,0.8,Mainz 05,12548.0,Vonovia Ruhrstadion,Patrick Ittrich
13,Regular Season,Sat,2021-08-21,15:30,Greuther Fürth,2.3,1–1,0.6,Arminia,5890.0,Sportpark Ronhof Thomas Sommer,Daniel Schlager
14,Regular Season,Sat,2021-08-21,15:30,Eint Frankfurt,1.4,0–0,0.2,Augsburg,22000.0,Commerzbank-Arena,Harm Osmers
15,Regular Season,Sat,2021-08-21,15:30,Hertha BSC,1.3,1–2,1.4,Wolfsburg,18241.0,Olympiastadion Berlin,Matthias Jöllenbeck
16,Regular Season,Sat,2021-08-21,18:30,Leverkusen,2.0,4–0,1.7,M'Gladbach,15105.0,BayArena,Deniz Aytekin
17,Regular Season,Sun,2021-08-22,15:30,Hoffenheim,0.9,2–2,1.6,Union Berlin,8014.0,PreZero Arena,Sascha Stegemann
18,Regular Season,Sun,2021-08-22,17:30,Bayern Munich,2.6,3–2,0.8,Köln,20000.0,Allianz Arena,Martin Petersen
20,Regular Season,Fri,2021-08-27,20:30,Dortmund,3.6,3–2,1.8,Hoffenheim,25000.0,Signal Iduna Park,Felix Zwayer
21,Regular Season,Sat,2021-08-28,15:30,Arminia,0.7,1–1,2.1,Eint Frankfurt,13750.0,SchücoArena,Bastian Dankert
22,Regular Season,Sat,2021-08-28,15:30,Stuttgart,1.5,2–3,1.2,Freiburg,25000.0,Mercedes-Benz Arena,Frank Willenborg
23,Regular Season,Sat,2021-08-28,15:30,Mainz 05,2.6,3–0,0.4,Greuther Fürth,11500.0,Opel Arena,Tobias Reichel
24,Regular Season,Sat,2021-08-28,15:30,Köln,2.0,2–1,1.0,Bochum,25000.0,RheinEnergieSTADION,Benjamin Cortus
25,Regular Season,Sat,2021-08-28,15:30,Augsburg,1.5,1–4,2.1,Leverkusen,10582.0,WWK Arena,Benjamin Brand
26,Regular Season,Sat,2021-08-28,18:30,Bayern Munich,3.0,5–0,0.4,Hertha BSC,25000.0,Allianz Arena,Sven Jablonski
27,Regular Season,Sun,2021-08-29,15:30,Union Berlin,1.9,2–1,2.2,M'Gladbach,11006.0,Stadion An der Alten Försterei,Felix Brych
28,Regular Season,Sun,2021-08-29,17:30,Wolfsburg,1.1,1–0,1.4,RB Leipzig,12058.0,Volkswagen Arena,Tobias Stieler
30,Regular Season,Sat,2021-09-11,15:30,Hoffenheim,0.8,0–2,1.1,Mainz 05,8427.0,PreZero Arena,Marco Fritz
31,Regular Season,Sat,2021-09-11,15:30,Freiburg,0.6,1–1,0.8,Köln,10000.0,Schwarzwald-Stadion,Harm Osmers
32,Regular Season,Sat,2021-09-11,15:30,Union Berlin,1.3,0–0,1.3,Augsburg,10207.0,Stadion An der Alten Försterei,Martin Petersen
33,Regular Season,Sat,2021-09-11,15:30,Greuther Fürth,0.5,0–2,1.6,Wolfsburg,9000.0,Sportpark Ronhof Thomas Sommer,Robert Hartmann
34,Regular Season,Sat,2021-09-11,15:30,Leverkusen,0.9,3–4,2.1,Dortmund,17605.0,BayArena,Daniel Siebert
35,Regular Season,Sat,2021-09-11,18:30,RB Leipzig,0.5,1–4,4.2,Bayern Munich,34000.0,Red Bull Arena,Deniz Aytekin
36,Regular Season,Sun,2021-09-12,15:30,Eint Frankfurt,1.3,1–1,1.4,Stuttgart,25000.0,Commerzbank-Arena,Matthias Jöllenbeck
37,Regular Season,Sun,2021-09-12,17:30,Bochum,1.2,1–3,0.5,Hertha BSC,14000.0,Vonovia Ruhrstadion,Robert Schröder
38,Regular Season,Sun,2021-09-12,19:30,M'Gladbach,1.9,3–1,1.8,Arminia,24500.0,Stadion im Borussia-Park,Sascha Stegemann
40,Regular Season,Fri,2021-09-17,20:30,Hertha BSC,1.1,2–1,1.3,Greuther Fürth,21372.0,Olympiastadion Berlin,Tobias Stieler
41,Regular Season,Sat,2021-09-18,15:30,Augsburg,0.4,1–0,0.7,M'Gladbach,12500.0,WWK Arena,Florian Badstübner
42,Regular Season,Sat,2021-09-18,15:30,Arminia,1.1,0–0,1.5,Hoffenheim,13750.0,SchücoArena,Patrick Ittrich
43,Regular Season,Sat,2021-09-18,15:30,Bayern Munich,4.5,7–0,1.0,Bochum,25000.0,Allianz Arena,Tobias Welz
44,Regular Season,Sat,2021-09-18,15:30,Mainz 05,0.8,0–0,0.7,Freiburg,13500.0,Opel Arena,Benjamin Brand
45,Regular Season,Sat,2021-09-18,18:30,Köln,1.6,1–1,1.9,RB Leipzig,25000.0,RheinEnergieSTADION,Felix Brych
46,Regular Season,Sun,2021-09-19,15:30,Stuttgart,1.1,1–3,1.5,Leverkusen,23450.0,Mercedes-Benz Arena,Benjamin Cortus
47,Regular Season,Sun,2021-09-19,17:30,Dortmund,0.9,4–2,1.4,Union Berlin,25000.0,Signal Iduna Park,Sven Jablonski
48,Regular Season,Sun,2021-09-19,19:30,Wolfsburg,1.7,1–1,0.3,Eint Frankfurt,9266.0,Volkswagen Arena,Felix Zwayer
50,Regular Season,Fri,2021-09-24,20:30,Greuther Fürth,1.0,1–3,0.9,Bayern Munich,11740.0,Sportpark Ronhof Thomas Sommer,Robert Schröder
51,Regular Season,Sat,2021-09-25,15:30,Union Berlin,1.2,1–0,0.6,Arminia,11000.0,Stadion An der Alten Försterei,Marco Fritz
52,Regular Season,Sat,2021-09-25,15:30,RB Leipzig,3.9,6–0,0.3,Hertha BSC,23500.0,Red Bull Arena,Sascha Stegemann
53,Regular Season,Sat,2021-09-25,15:30,Eint Frankfurt,1.2,1–1,1.0,Köln,24000.0,Commerzbank-Arena,Martin Petersen
54,Regular Season,Sat,2021-09-25,15:30,Leverkusen,1.6,1–0,1.0,Mainz 05,16624.0,BayArena,Bastian Dankert
55,Regular Season,Sat,2021-09-25,15:30,Hoffenheim,1.7,3–1,0.6,Wolfsburg,8523.0,PreZero Arena,Daniel Siebert
56,Regular Season,Sat,2021-09-25,18:30,M'Gladbach,1.4,1–0,0.4,Dortmund,25000.0,Stadion im Borussia-Park,Deniz Aytekin
57,Regular Season,Sun,2021-09-26,15:30,Bochum,0.7,0–0,0.2,Stuttgart,15300.0,Vonovia Ruhrstadion,Christian Dingert
58,Regular Season,Sun,2021-09-26,17:30,Freiburg,3.0,3–0,0.2,Augsburg,14400.0,Schwarzwald-Stadion,Daniel Schlager
60,Regular Season,Fri,2021-10-01,20:30,Köln,2.7,3–1,1.2,Greuther Fürth,40000.0,RheinEnergieSTADION,Matthias Jöllenbeck
61,Regular Season,Sat,2021-10-02,15:30,Hertha BSC,1.0,1–2,1.0,Freiburg,18376.0,Olympiastadion Berlin,Patrick Ittrich
62,Regular Season,Sat,2021-10-02,15:30,Wolfsburg,1.3,1–3,2.8,M'Gladbach,12845.0,Volkswagen Arena,Frank Willenborg
63,Regular Season,Sat,2021-10-02,15:30,Stuttgart,0.8,3–1,1.3,Hoffenheim,24211.0,Mercedes-Benz Arena,Harm Osmers
64,Regular Season,Sat,2021-10-02,15:30,Dortmund,3.0,2–1,0.8,Augsburg,41000.0,Signal Iduna Park,Tobias Welz
65,Regular Season,Sat,2021-10-02,18:30,RB Leipzig,2.5,3–0,1.3,Bochum,25598.0,Red Bull Arena,Robert Hartmann
66,Regular Season,Sun,2021-10-03,15:30,Mainz 05,1.1,1–2,1.3,Union Berlin,16000.0,Opel Arena,Tobias Stieler
67,Regular Season,Sun,2021-10-03,17:30,Bayern Munich,2.7,1–2,0.7,Eint Frankfurt,25000.0,Allianz Arena,Florian Badstübner
68,Regular Season,Sun,2021-10-03,19:30,Arminia,0.4,0–4,3.0,Leverkusen,16250.0,SchücoArena,Felix Zwayer
70,Regular Season,Fri,2021-10-15,20:30,Hoffenheim,3.7,5–0,0.7,Köln,14309.0,PreZero Arena,Tobias Reichel
71,Regular Season,Sat,2021-10-16,15:30,Union Berlin,1.2,2–0,1.8,Wolfsburg,11000.0,Stadion An der Alten Försterei,Sascha Stegemann
72,Regular Season,Sat,2021-10-16,15:30,Eint Frankfurt,1.5,1–2,1.8,Hertha BSC,32000.0,Commerzbank-Arena,Deniz Aytekin
73,Regular Season,Sat,2021-10-16,15:30,Greuther Fürth,1.0,0–1,1.2,Bochum,10586.0,Sportpark Ronhof Thomas Sommer,Bastian Dankert
74,Regular Season,Sat,2021-10-16,15:30,Dortmund,2.3,3–1,0.6,Mainz 05,63812.0,Signal Iduna Park,Daniel Schlager
75,Regular Season,Sat,2021-10-16,15:30,Freiburg,1.4,1–1,1.7,RB Leipzig,20000.0,Europa-Park Stadion,Daniel Siebert
76,Regular Season,Sat,2021-10-16,18:30,M'Gladbach,2.6,1–1,0.5,Stuttgart,41608.0,Stadion im Borussia-Park,Felix Brych
77,Regular Season,Sun,2021-10-17,15:30,Leverkusen,0.8,1–5,3.1,Bayern Munich,29542.0,BayArena,Sven Jablonski
78,Regular Season,Sun,2021-10-17,17:30,Augsburg,0.8,1–1,0.4,Arminia,17500.0,WWK Arena,Robert Schröder
80,Regular Season,Fri,2021-10-22,20:30,Mainz 05,3.6,4–1,0.8,Augsburg,19400.0,Opel Arena,Robert Hartmann
81,Regular Season,Sat,2021-10-23,15:30,RB Leipzig,2.5,4–1,1.5,Greuther Fürth,24758.0,Red Bull Arena,Christian Dingert
82,Regular Season,Sat,2021-10-23,15:30,Arminia,1.7,1–3,2.4,Dortmund,25000.0,SchücoArena,Benjamin Brand
83,Regular Season,Sat,2021-10-23,15:30,Bayern Munich,2.1,4–0,0.7,Hoffenheim,60000.0,Allianz Arena,Matthias Jöllenbeck
84,Regular Season,Sat,2021-10-23,15:30,Wolfsburg,1.8,0–2,1.5,Freiburg,10251.0,Volkswagen Arena,Tobias Welz
85,Regular Season,Sat,2021-10-23,18:30,Hertha BSC,1.1,1–0,0.7,M'Gladbach,25000.0,Olympiastadion Berlin,Benjamin Cortus
86,Regular Season,Sun,2021-10-24,15:30,Köln,1.9,2–2,1.4,Leverkusen,49600.0,RheinEnergieSTADION,Felix Zwayer
87,Regular Season,Sun,2021-10-24,17:30,Stuttgart,0.5,1–1,1.2,Union Berlin,32595.0,Mercedes-Benz Arena,Florian Badstübner
88,Regular Season,Sun,2021-10-24,19:30,Bochum,2.1,2–0,1.6,Eint Frankfurt,19510.0,Vonovia Ruhrstadion,Marco Fritz
90,Regular Season,Fri,2021-10-29,20:30,Hoffenheim,1.0,2–0,0.4,Hertha BSC,8127.0,PreZero Arena,Sven Jablonski
91,Regular Season,Sat,2021-10-30,15:30,Dortmund,1.3,2–0,1.3,Köln,66709.0,Signal Iduna Park,Martin Petersen
92,Regular Season,Sat,2021-10-30,15:30,Leverkusen,1.4,0–2,1.7,Wolfsburg,20132.0,BayArena,Deniz Aytekin
93,Regular Season,Sat,2021-10-30,15:30,Freiburg,1.3,3–1,0.7,Greuther Fürth,31500.0,Europa-Park Stadion,Felix Brych
94,Regular Season,Sat,2021-10-30,15:30,Union Berlin,1.1,2–5,3.3,Bayern Munich,16509.0,Stadion An der Alten Försterei,Harm Osmers
95,Regular Season,Sat,2021-10-30,15:30,Arminia,0.7,1–2,2.5,Mainz 05,19477.0,SchücoArena,Bastian Dankert
96,Regular Season,Sat,2021-10-30,18:30,Eint Frankfurt,0.6,1–1,2.8,RB Leipzig,31000.0,Commerzbank-Arena,Daniel Schlager
97,Regular Season,Sun,2021-10-31,15:30,Augsburg,2.0,4–1,0.9,Stuttgart,17500.0,WWK Arena,Patrick Ittrich
98,Regular Season,Sun,2021-10-31,17:30,M'Gladbach,1.8,2–1,1.0,Bochum,42361.0,Stadion im Borussia-Park,Tobias Reichel
100,Regular Season,Fri,2021-11-05,20:30,Mainz 05,0.9,1–1,1.8,M'Gladbach,25000.0,Opel Arena,Robert Schröder
101,Regular Season,Sat,2021-11-06,15:30,Stuttgart,0.9,0–1,1.7,Arminia,33550.0,Mercedes-Benz Arena,Christian Dingert
102,Regular Season,Sat,2021-11-06,15:30,Wolfsburg,0.8,1–0,0.6,Augsburg,16095.0,Volkswagen Arena,Marco Fritz
103,Regular Season,Sat,2021-11-06,15:30,Bayern Munich,3.5,2–1,1.1,Freiburg,75000.0,Allianz Arena,Sascha Stegemann
104,Regular Season,Sat,2021-11-06,15:30,Bochum,2.3,2–0,0.6,Hoffenheim,19600.0,Vonovia Ruhrstadion,Frank Willenborg
105,Regular Season,Sat,2021-11-06,18:30,RB Leipzig,2.4,2–1,1.2,Dortmund,43429.0,Red Bull Arena,Felix Zwayer
106,Regular Season,Sun,2021-11-07,15:30,Hertha BSC,0.9,1–1,1.0,Leverkusen,22187.0,Olympiastadion Berlin,Robert Hartmann
107,Regular Season,Sun,2021-11-07,17:30,Köln,2.1,2–2,1.1,Union Berlin,49000.0,RheinEnergieSTADION,Tobias Stieler
108,Regular Season,Sun,2021-11-07,19:30,Greuther Fürth,2.8,1–2,1.5,Eint Frankfurt,10244.0,Sportpark Ronhof Thomas Sommer,Daniel Siebert
110,Regular Season,Fri,2021-11-19,20:30,Augsburg,0.3,2–1,1.6,Bayern Munich,26000.0,WWK Arena,Daniel Siebert
111,Regular Season,Sat,2021-11-20,15:30,Leverkusen,1.7,1–0,0.8,Bochum,22538.0,BayArena,Daniel Schlager
112,Regular Season,Sat,2021-11-20,15:30,Hoffenheim,2.7,2–0,0.2,RB Leipzig,13233.0,PreZero Arena,Tobias Welz
113,Regular Season,Sat,2021-11-20,15:30,Dortmund,1.7,2–1,1.4,Stuttgart,57900.0,Signal Iduna Park,Harm Osmers
114,Regular Season,Sat,2021-11-20,15:30,Arminia,1.5,2–2,1.7,Wolfsburg,19801.0,SchücoArena,Martin Petersen
115,Regular Season,Sat,2021-11-20,15:30,M'Gladbach,2.6,4–0,0.4,Greuther Fürth,38621.0,Stadion im Borussia-Park,Benjamin Brand
116,Regular Season,Sat,2021-11-20,18:30,Union Berlin,2.0,2–0,0.5,Hertha BSC,22012.0,Stadion An der Alten Försterei,Felix Brych
117,Regular Season,Sun,2021-11-21,15:30,Freiburg,1.7,0–2,1.3,Eint Frankfurt,32500.0,Europa-Park Stadion,Florian Badstübner
118,Regular Season,Sun,2021-11-21,17:30,Mainz 05,0.9,1–1,1.7,Köln,25500.0,Opel Arena,Deniz Aytekin
120,Regular Season,Fri,2021-11-26,20:30,Stuttgart,0.4,2–1,1.0,Mainz 05,25000.0,Mercedes-Benz Arena,Matthias Jöllenbeck
121,Regular Season,Sat,2021-11-27,15:30,Bochum,1.0,2–1,2.1,Freiburg,19700.0,Vonovia Ruhrstadion,Patrick Ittrich
122,Regular Season,Sat,2021-11-27,15:30,Wolfsburg,1.4,1–3,2.2,Dortmund,13281.0,Volkswagen Arena,Sven Jablonski
123,Regular Season,Sat,2021-11-27,15:30,Köln,1.7,4–1,1.1,M'Gladbach,50000.0,RheinEnergieSTADION,Robert Schröder
124,Regular Season,Sat,2021-11-27,15:30,Hertha BSC,1.4,1–1,1.4,Augsburg,14523.0,Olympiastadion Berlin,Frank Willenborg
125,Regular Season,Sat,2021-11-27,15:30,Greuther Fürth,1.4,3–6,3.0,Hoffenheim,3385.0,Sportpark Ronhof Thomas Sommer,Bastian Dankert
126,Regular Season,Sat,2021-11-27,18:30,Bayern Munich,2.3,1–0,0.5,Arminia,12000.0,Allianz Arena,Marco Fritz
127,Regular Season,Sun,2021-11-28,15:30,Eint Frankfurt,1.9,2–1,1.3,Union Berlin,24000.0,Commerzbank-Arena,Sascha Stegemann
128,Regular Season,Sun,2021-11-28,17:30,RB Leipzig,1.6,1–3,1.8,Leverkusen,,Red Bull Arena,Benjamin Cortus
130,Regular Season,Fri,2021-12-03,20:30,Union Berlin,3.3,2–1,1.3,RB Leipzig,13506.0,Stadion An der Alten Försterei,Harm Osmers
131,Regular Season,Sat,2021-12-04,15:30,Leverkusen,2.8,7–1,0.4,Greuther Fürth,10455.0,BayArena,Tobias Reichel
132,Regular Season,Sat,2021-12-04,15:30,Mainz 05,1.4,3–0,0.7,Wolfsburg,10000.0,Opel Arena,Florian Badstübner
133,Regular Season,Sat,2021-12-04,15:30,Hoffenheim,0.9,3–2,1.7,Eint Frankfurt,,PreZero Arena,Daniel Schlager
134,Regular Season,Sat,2021-12-04,15:30,Augsburg,2.9,2–3,1.2,Bochum,,WWK Arena,Deniz Aytekin
135,Regular Season,Sat,2021-12-04,15:30,Arminia,1.5,1–1,1.1,Köln,8231.0,SchücoArena,Felix Brych
136,Regular Season,Sat,2021-12-04,18:30,Dortmund,1.1,2–3,2.0,Bayern Munich,15000.0,Signal Iduna Park,Felix Zwayer
137,Regular Season,Sun,2021-12-05,15:30,Stuttgart,1.2,2–2,1.1,Hertha BSC,395.0,Mercedes-Benz Arena,Benjamin Brand
138,Regular Season,Sun,2021-12-05,17:30,M'Gladbach,1.1,0–6,1.8,Freiburg,10025.0,Stadion im Borussia-Park,Robert Hartmann
140,Regular Season,Fri,2021-12-10,20:30,Köln,1.2,0–2,0.7,Augsburg,15000.0,RheinEnergieSTADION,Patrick Ittrich
141,Regular Season,Sat,2021-12-11,15:30,RB Leipzig,4.4,4–1,1.4,M'Gladbach,,Red Bull Arena,Bastian Dankert
142,Regular Season,Sat,2021-12-11,15:30,Hertha BSC,2.0,2–0,0.4,Arminia,5000.0,Olympiastadion Berlin,Tobias Welz
143,Regular Season,Sat,2021-12-11,15:30,Freiburg,1.6,1–2,1.1,Hoffenheim,750.0,Europa-Park Stadion,Frank Willenborg
144,Regular Season,Sat,2021-12-11,15:30,Bochum,0.9,1–1,2.5,Dortmund,13799.0,Vonovia Ruhrstadion,Matthias Jöllenbeck
145,Regular Season,Sat,2021-12-11,15:30,Bayern Munich,1.9,2–1,0.8,Mainz 05,,Allianz Arena,Benjamin Cortus
146,Regular Season,Sat,2021-12-11,18:30,Wolfsburg,1.5,0–2,1.4,Stuttgart,5000.0,Volkswagen Arena,Sascha Stegemann
147,Regular Season,Sun,2021-12-12,15:30,Greuther Fürth,0.7,1–0,1.2,Union Berlin,,Sportpark Ronhof Thomas Sommer,Sven Jablonski
148,Regular Season,Sun,2021-12-12,17:30,Eint Frankfurt,1.6,5–2,1.7,Leverkusen,12000.0,Commerzbank-Arena,Marco Fritz
150,Regular Season,Tue,2021-12-14,18:30,Stuttgart,0.9,0–5,3.3,Bayern Munich,750.0,Mercedes-Benz Arena,Robert Schröder
151,Regular Season,Tue,2021-12-14,20:30,Wolfsburg,2.5,2–3,3.3,Köln,5000.0,Volkswagen Arena,Robert Hartmann
152,Regular Season,Tue,2021-12-14,20:30,Arminia,0.9,2–0,0.6,Bochum,13750.0,SchücoArena,Benjamin Brand
153,Regular Season,Tue,2021-12-14,20:30,Mainz 05,2.6,4–0,0.5,Hertha BSC,10000.0,Opel Arena,Harm Osmers
154,Regular Season,Wed,2021-12-15,18:30,M'Gladbach,1.9,2–3,1.8,Eint Frankfurt,10028.0,Stadion im Borussia-Park,Martin Petersen
155,Regular Season,Wed,2021-12-15,20:30,Leverkusen,2.0,2–2,1.9,Hoffenheim,13272.0,BayArena,Tobias Stieler
156,Regular Season,Wed,2021-12-15,20:30,Union Berlin,1.8,0–0,1.4,Freiburg,5000.0,Stadion An der Alten Försterei,Deniz Aytekin
157,Regular Season,Wed,2021-12-15,20:30,Augsburg,1.4,1–1,2.4,RB Leipzig,,WWK Arena,Florian Badstübner
158,Regular Season,Wed,2021-12-15,20:30,Dortmund,1.8,3–0,0.6,Greuther Fürth,15000.0,Signal Iduna Park,Daniel Schlager
160,Regular Season,Fri,2021-12-17,20:30,Bayern Munich,3.2,4–0,1.2,Wolfsburg,,Allianz Arena,Tobias Welz
161,Regular Season,Sat,2021-12-18,15:30,Greuther Fürth,0.1,0–0,1.2,Augsburg,,Sportpark Ronhof Thomas Sommer,Sascha Stegemann
162,Regular Season,Sat,2021-12-18,15:30,Bochum,0.9,0–1,1.0,Union Berlin,13500.0,Vonovia Ruhrstadion,Tobias Reichel
163,Regular Season,Sat,2021-12-18,15:30,Eint Frankfurt,2.0,1–0,0.8,Mainz 05,15000.0,Commerzbank-Arena,Felix Brych
164,Regular Season,Sat,2021-12-18,15:30,RB Leipzig,2.0,0–2,0.6,Arminia,,Red Bull Arena,Frank Willenborg
165,Regular Season,Sat,2021-12-18,15:30,Hoffenheim,2.3,1–1,1.6,M'Gladbach,750.0,PreZero Arena,Sven Jablonski
166,Regular Season,Sat,2021-12-18,18:30,Hertha BSC,1.6,3–2,1.2,Dortmund,5000.0,Olympiastadion Berlin,Marco Fritz
167,Regular Season,Sun,2021-12-19,15:30,Freiburg,2.0,2–1,1.0,Leverkusen,750.0,Europa-Park Stadion,Benjamin Cortus
168,Regular Season,Sun,2021-12-19,17:30,Köln,1.1,1–0,0.4,Stuttgart,15000.0,RheinEnergieSTADION,Bastian Dankert
170,Regular Season,Fri,2022-01-07,20:30,Bayern Munich,1.7,1–2,1.1,M'Gladbach,,Allianz Arena,Daniel Siebert
171,Regular Season,Sat,2022-01-08,15:30,Hoffenheim,1.8,3–1,0.7,Augsburg,500.0,PreZero Arena,Benjamin Cortus
172,Regular Season,Sat,2022-01-08,15:30,Greuther Fürth,0.8,0–0,1.4,Stuttgart,,Sportpark Ronhof Thomas Sommer,Felix Brych
173,Regular Season,Sat,2022-01-08,15:30,Freiburg,2.0,2–2,0.9,Arminia,,Europa-Park Stadion,Harm Osmers
174,Regular Season,Sat,2022-01-08,15:30,RB Leipzig,3.3,4–1,0.4,Mainz 05,,Red Bull Arena,Deniz Aytekin
175,Regular Season,Sat,2022-01-08,15:30,Leverkusen,1.8,2–2,2.4,Union Berlin,,BayArena,Matthias Jöllenbeck
176,Regular Season,Sat,2022-01-08,18:30,Eint Frankfurt,1.2,2–3,2.4,Dortmund,250.0,Commerzbank-Arena,Robert Schröder
177,Regular Season,Sun,2022-01-09,15:30,Hertha BSC,1.0,1–3,1.7,Köln,3000.0,Olympiastadion Berlin,Tobias Stieler
178,Regular Season,Sun,2022-01-09,17:30,Bochum,0.8,1–0,0.4,Wolfsburg,,Vonovia Ruhrstadion,Daniel Schlager
180,Regular Season,Fri,2022-01-14,20:30,Dortmund,1.8,5–1,0.7,Freiburg,750.0,Signal Iduna Park,Florian Badstübner
181,Regular Season,Sat,2022-01-15,15:30,Mainz 05,1.7,1–0,1.5,Bochum,1000.0,Opel Arena,Frank Willenborg
182,Regular Season,Sat,2022-01-15,15:30,Köln,1.2,0–4,3.4,Bayern Munich,1000.0,RheinEnergieSTADION,Tobias Welz
183,Regular Season,Sat,2022-01-15,15:30,Union Berlin,1.6,2–1,1.3,Hoffenheim,3000.0,Stadion An der Alten Försterei,Martin Petersen
184,Regular Season,Sat,2022-01-15,15:30,Stuttgart,1.1,0–2,1.3,RB Leipzig,500.0,Mercedes-Benz Arena,Daniel Schlager
185,Regular Season,Sat,2022-01-15,15:30,Wolfsburg,1.2,0–0,0.2,Hertha BSC,500.0,Volkswagen Arena,Robert Hartmann
186,Regular Season,Sat,2022-01-15,18:30,M'Gladbach,1.5,1–2,4.4,Leverkusen,750.0,Stadion im Borussia-Park,Sascha Stegemann
187,Regular Season,Sun,2022-01-16,15:30,Augsburg,1.4,1–1,2.2,Eint Frankfurt,,WWK Arena,Sven Jablonski
188,Regular Season,Sun,2022-01-16,17:30,Arminia,0.8,2–2,0.4,Greuther Fürth,750.0,SchücoArena,Christian Dingert
190,Regular Season,Fri,2022-01-21,20:30,Eint Frankfurt,1.9,0–2,1.5,Arminia,1000.0,Commerzbank-Arena,Tobias Reichel
191,Regular Season,Sat,2022-01-22,15:30,Greuther Fürth,1.1,2–1,2.0,Mainz 05,,Sportpark Ronhof Thomas Sommer,Robert Schröder
192,Regular Season,Sat,2022-01-22,15:30,M'Gladbach,1.0,1–2,1.1,Union Berlin,750.0,Stadion im Borussia-Park,Felix Brych
193,Regular Season,Sat,2022-01-22,15:30,Freiburg,1.6,2–0,0.5,Stuttgart,500.0,Europa-Park Stadion,Tobias Stieler
194,Regular Season,Sat,2022-01-22,15:30,Leverkusen,3.2,5–1,1.4,Augsburg,750.0,BayArena,Daniel Schlager
195,Regular Season,Sat,2022-01-22,15:30,Hoffenheim,1.5,2–3,1.5,Dortmund,500.0,PreZero Arena,Deniz Aytekin
196,Regular Season,Sat,2022-01-22,18:30,Bochum,1.8,2–2,1.0,Köln,750.0,Vonovia Ruhrstadion,Matthias Jöllenbeck
197,Regular Season,Sun,2022-01-23,15:30,RB Leipzig,1.3,2–0,0.9,Wolfsburg,1000.0,Red Bull Arena,Daniel Siebert
198,Regular Season,Sun,2022-01-23,17:30,Hertha BSC,0.9,1–4,3.9,Bayern Munich,3000.0,Olympiastadion Berlin,Bastian Dankert
200,Regular Season,Fri,2022-02-04,20:30,Hertha BSC,0.5,1–1,1.1,Bochum,3000.0,Olympiastadion Berlin,Marco Fritz
201,Regular Season,Sat,2022-02-05,15:30,Arminia,0.6,1–1,1.5,M'Gladbach,10000.0,SchücoArena,Benjamin Cortus
202,Regular Season,Sat,2022-02-05,15:30,Mainz 05,2.0,2–0,1.6,Hoffenheim,6800.0,Opel Arena,Christian Dingert
203,Regular Season,Sat,2022-02-05,15:30,Stuttgart,1.8,2–3,1.1,Eint Frankfurt,10000.0,Mercedes-Benz Arena,Sascha Stegemann
204,Regular Season,Sat,2022-02-05,15:30,Köln,1.3,1–0,1.3,Freiburg,10000.0,RheinEnergieSTADION,Felix Brych
205,Regular Season,Sat,2022-02-05,15:30,Augsburg,2.0,2–0,1.6,Union Berlin,7600.0,WWK Arena,Harm Osmers
206,Regular Season,Sat,2022-02-05,18:30,Bayern Munich,2.9,3–2,2.1,RB Leipzig,10000.0,Allianz Arena,Sven Jablonski
207,Regular Season,Sun,2022-02-06,15:30,Dortmund,1.3,2–5,2.1,Leverkusen,10000.0,Signal Iduna Park,Daniel Siebert
208,Regular Season,Sun,2022-02-06,17:30,Wolfsburg,2.0,4–1,1.1,Greuther Fürth,500.0,Volkswagen Arena,Martin Petersen
210,Regular Season,Fri,2022-02-11,20:30,RB Leipzig,1.0,3–1,0.9,Köln,15000.0,Red Bull Arena,Florian Badstübner
